VG learning Direct Taxes CA Final Modules By Vinod Gupta Finance Act 2016 applicable for November 2017 Exam,undefined,"$†1,600"
Bestword Corporate And Allied Laws Detailed Edition for CA Final By Munish Bhandari applicable for November 2017 Exam,$†875,$†770
MakeMyDelivery CA Final A Handbook on Advanced Auditing & Professional Ethics By CA Abhishek Bansal Applicable for November 2017 Exam,$†695,$†610
"S Chand Grewal Accountancy for CA CPT by  M P Gupta and B M Agarwal , M.P Gupta ( Edition : 2015 )",$†495,$†450
VG learning Direct Tax Summary Module for CA Final by Vinod Gupta Applicable for November 2017 Exam,undefined,$†380
"Carvinowledge CA CPT Question bank ( Set of 2 Volumes ) By Jha , Katheria , Trivedi : Edition 2015",$†925,$†753
Bharat Fundamentals Of Accounting for CA CPT ( MCQ ) By T Padma K P C Rao Edition : 2014,$†500,$†415
‚ÄúC before my name with a S‚Äù by Ankita Patil,$†150,$†75
A Puri Publications Handbook on modified Master plan for Delhi 2021 by V.K. PURI Edition: 2016,$†795,$†602
Aadhya Prakashan Advanced Tax Laws and Practice for CS Final by Yogendra Bangar and Vandana Bangar Applicable For June 2017 Exam,"$†1,110",$†920
"Aadhya Prakashan Comprehensive Guide To Tax Laws and Practice (MCQ‚ÄôS) for CS Executive by Yogendra Bangar and Vandana Bangar, Applicable June 2017 Exam",$†520,$†442
"Aadhya Prakashan Comprehensive Guide to Taxation Part I Income Tax for CA IPCC, CMA (Intermediate),  by Vandana Bangar, Yogendra Bangar applicable for May 2017 Exam",$†600,$†510
"Aadhyas Beginner‚Äôs Guide to GST for Students, Professionals, Traders & Others By Dr. Yogendra Bangar & Dr. Vandana Bangar Edition 2017",$†700,$†610
Aadhyas Direct Tax Quick referencer cum Compiler for CA Final By Dr. Yogendra Bangar Dr. Vandana Banga Applicable For May 2017 Exam,$†750,$†630
"Access Environment & Ecology ‚Äì Biodiversity, Climate Change and Disaster Management for Civil Services Examination",$†425,$†322
"Access Ethics , Integrity And Aptitude By G Subba Rao, P N Roy Chowdhury",$†495,$†375
"Access General Studies Paper 1 (2015) For Civil Services By Mazid Husain, D R Khullar",$†775,$†587
"Access Geography Of India For Civil Services By Surender Singh, Jitender Saroha",$†425,$†322
Access Indian And World Geography For Civil Services By D R Khullar,$†295,$†224
"Access Indian Polity, Governance and National Movement : Civil Services Preliminary Examination (Paper 1) (English)",$†295,$†224
"Access Nitisastr,Styanistha Evam Abhivarti In Hindi For Civil Services By G.Subba Rao,P.N.Roy Chowdhry",$†450,$†341
Access Oceanography By K. Siddhratha,$†285,$†216
"Access Prelims Special ‚Äì Bharat Ki Rajvyavastha, Shasan Evam Rashtriya Andolan Civil Sewa Prarambhik Pariksha Ke Liye (Paper 1) Hindi",$†295,$†224
Access Publication CSAT ‚Äì Samanya Adhyayan Paper ‚Äì 2 Civil Seva Prarambhik Pariksha Hetu ‚Äì 2015,$†695,$†527
Access Samanya Adhyayan Paper 1 ‚Äì Practice Papers for Civil Services Preliminary Examination,$†375,$†284
"Access Samnaya Adhyan Paper -1 For Civil Services In Hindi By Shilwant Singh, Minakshi Kant",$†375,$†284
Advance Management Accounting ( Costing & O.R ) Comprehensive Modal Test Paper  Group II By Sanjay Aggarwal Edition : 2015,$†300,$†256
ADVANCE TAX LAWS AND PRACTICE for CS Professional by CA Arpit Gupta For June/Dec 2016 Exams,"$†7,500","$†6,890"
AJ Publication Start up India Stand up India By Vipin Sharma and Suman Gupta Edition 2016,$†220,$†190
AJ Publications Complete Reference Book on Information Technology & System Audit for CS Professional By CA PANKAJ GOEL Applicable For June 2016 Exam,$†295,$†240
Aldine Financial Management for CA IPCC by RK Mehta Edition 2016,$†550,$†495
Allied Book Company Criminal Major Acts by Rc Khera Edition : 2015,$†550,$†417
Allied Book Company Delhi High Court Rules Practice & Procedure by Rc Khera Edition : 2013,"$†2,590","$†1,962"
